id,title,price,isbn,sale_id
1,안티프래질 프런트엔드,23000,9791165923341 ,S000217735516
2,프런트엔드 레벨을 높이는 자바스크립트 퀴즈북,36000,9791169214407,S000217575708
3,웹 개발자를 위한 API 디자인 패턴,42000,9791161759944,S000217555320
4,밑바닥부터 시작하는 웹 브라우저,45000,9791169214353,S000217503808
5,"웹 프로그래밍 기본 완성 : HTML5, CSS3, JavaScript",42000,9791168331846,S000217447333
6,실무로 통하는 웹 API,27000,9791169214261,S000217378141
7,스프링 6 레시피,63000,9791169214254,S000217349483
8,코딩 자율학습 리액트 프런트엔드 개발 입문,42000,9791140715541,S000217326306
9,한 입 크기로 잘라 먹는 Next.js,35000,9788966264841,S000217191723
10,구글 스프레스시트 & 앱스스크립트 업무 자동화,35000,9791164262700,S000217126063
11,HTML+CSS 실전 입문서,25000,9791140714704,S000216928650
12,인터랙티브 웹 애니메이션,38000,9788931479393,S000216901158
13,소플의 처음 만난 Next.js,39000,9791169213912,S000216886960
14,웹 접근성 바이블,38000,9791165923235,S000216701296
15,LUVIT 실전 백엔드 러스트 Axum 프로그래밍,25000,9791194587293,S000216693772
16,npm Deep Dive,55000,9791158396077,S000216669881
17,LUVIT 나의 첫 타입스크립트 프로젝트,26000,9791194587286,S000216627462
18,멀티패러다임 프로그래밍,38000,9791169213738,S000216318962
19,실무에 바로 적용하는 웹 접근성 가이드북,42000,9791194587064,S000216317267
20,JSPStudy의 JSP&Servlet 웹 프로그래밍 입문+활용,25500,9791193059524,S000216289549
21,처음부터 시작하는 Next.js React 개발 입문,35200,9791127468507,S000216263249
22,이게 되네? 챗GPT 미친 크롤링 24제,26000,9791194383246,S000216249128
23,AI와 함께 하는 WEB-CODING 기초,29000,9791186337608,S000216112506
24,웹의 이해,5000,9791139224689,S000216042820
25,Azure OpenAI로 ChatGPT와 LLM 시스템 쉽고 빠르게 구축하기,30000,9791194587033,S000215851003
26,패턴으로 익히고 설계로 완성하는 리액트,30000,9791169213417,S000215690638
27,LUVIT 새로운 웹 개발의 시작 스벨트,32000,9791193926994,S000215618326
28,스프링 프레임워크 첫걸음,30000,9791158395704,S000215617843
29,대규모 리액트 웹 앱 개발,28000,9791193926970,S000215561417
30,Vue 3와 스프링 부트로 시작하는 웹 개발 철저 입문,38000,9791158395599,S000215152090
31,"OpenAI, 구글 Gemini, 업스테이지 Solar API를 활용한 실전 LLM 앱 개발",35000,9791158395667,S000215102456
32,Vue 3 풀스택 실전 웹 프로젝트,38000,9791189184131,S000215079707
33,PHP로 작성하는 웹 프로그래밍 기초,26000,9788970188171,S000215015065
34,스프링 부트 완전정복,35000,9791140711963,S000215007712
35,전문가를 위한 리액트,34000,9791169213318,S000214977649
36,테스트 너머의 QA 엔지니어링,22000,9791193926789,S000214961138
37,Do it! 자바스크립트+제이쿼리 입문,25000,9791163036623,S000214921842
38,쉽게 시작하는 Next.js,32000,9791140711987,S000214921493
39,실전! 스프링 부트 3 & 리액트로 시작하는 모던 웹 애플리케이션 개발,30000,9791158395315,S000214896424
40,스프링 6와 스프링 부트 3로 배우는 모던 API 개발,32000,9791158395384,S000214875784
41,자바 스크립트 웹 프로그래밍,25000,9791162891247,S000214708659
42,소플의 처음 만난 AWS: 기초부터 차근차근 따라 하며 익히는 AWS 서비스 가이드,48000,9791169213042,S000214700630
43,비전공자도 배울 수 있는 타입스크립트,32000,9791169213066,S000214698709
44,JSP 3.1 & Servlet 6.0,35000,9791167640710,S000214681696
45,예제로 배우는 소프트웨어 디자인,34000,9788931477696,S000214608148
46,이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT,32000,9791191905991,S000214576421
47,시작! AWS: 사전처럼 찾아보는 16가지 기본 서비스와 77가지 실무 활용 서비스,36000,9791169212984,S000214513568
48,비전공자를 위한 AWS,20000,9791193926499,S000214507856
49,헬로 Bun,22000,9791193926710,S000214450265
50,실전 코드로 배우는 Vue.js,33000,9791169212991,S000214449931
51,모던 리액트 완벽 입문,36000,9791158395308,S000214428404
52,React 18 디자인 패턴과 베스트 프랙티스 4/e,38000,9791161759210,S000214409551
53,HTML  CSS3 웹 디자인,23000,9791162891230,S000214164116
54,리액트 인터뷰 가이드,28000,9791158395377,S000214006794
55,쉽게 설명한 자바스크립트 알고리즘,17000,9788931477252,S000213996137
56,자바스크립트 + 리액트 디자인 패턴,28000,9791169212571,S000213880201
57,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,32000,9791163036227,S000213851738
58,미라클 HTML5+CSS3+자바스크립트,31000,9791156640332,S000213770094
59,쉽게 배우는 PHP 웹 프로그래밍,29000,9791156640318,S000213741678
60,실무로 통하는 타입스크립트,35000,9791169212595,S000213641343
61,RESTful API 서버 구현,32000,9791189184124,S000213610712
62,퍼펙트 리액트,28800,9791198762313,S000213540849
63,퍼펙트 제이쿼리,24900,9791198762306,S000213509670
64,업무에 활용하는 Node.js,30000,9791169212489,S000213381878
65,코딩 자율학습 Vue.js 프런트엔드 개발 입문,35000,9791140713844,S000213378433
66,레벨업 리액트 프로그래밍 with Next.js,44000,9791165922795,S000213362009
67,스프링 교과서,33000,9791140710119,S000213355775
68,Do it! 조코딩의 첫 웹 개발,17000,9791163035961,S000213314112
69,JUnit in Action,43000,9788966264407,S000213304122
70,일잘러의 UiPath 업무 자동화,22000,9791193926215,S000213263179
71,러닝스쿨! 자바스크립트 첫걸음,24000,9791158395193,S000213096985
72,RESTful Web API 패턴과 모범 사례,40000,9791161758404,S000213035540
73,백견불여일타 이젠 프로젝트다! 리액트 쇼핑몰 프로젝트,30000,9791193229286,S000213017600
74,실전 스벨트 & 스벨트킷 입문,26000,9791193926161,S000212989287
75,완성된 웹사이트로 배우는 자바스크립트,27000,9791169212205,S000212779305
76,리액트 훅 인 액션,30000,9791189909611,S000212764055
77,Do it! 리액트로 웹앱 만들기 with 타입스크립트,40000,9791163035640,S000212754474
78,그림으로 배우는 스프링 6 입문,39000,9791169212168,S000212731809
79,HTML/CSS가 보이는 그림책,19800,9788931586367,S000212730091
80,내 손으로 만드는 PHP 쇼핑몰,29000,9791186898741,S000212655782
81,기초부터 배우는 웹 개발 리터러시,20000,9788956749341,S000212575964
82,코딩 자율학습 제로초의 자바스크립트 입문,28000,9791140708406,S000212263350
83,누구나 쉽게 배우는 HTML5+CSS3,17000,9791197682643,S000212226211
84,제로부터 시작하는 러스트 백엔드 프로그래밍,38000,9791192987385,S000212216062
85,타입스크립트 프로그래밍,25000,9791193469033,S000212149647
86,얄코의 Too Much 친절한 HTML+CSS+자바스크립트,32000,9791198364258,S000212053076
87,자바스크립트,32000,9791192932477,S000212022852
88,아는 만큼 보이는 백엔드 개발,24000,9791140708116,S000211923576
89,이것이 취업을 위한 백엔드 개발이다 with 자바,36000,9791169211338,S000211834105
90,You Don’t Know JS Yet,30000,9791169211888,S000211817154
91,"웹/모바일 접근성, 모두를 위한 비즈니스 확장",20000,9791158524029,S000211783772
92,Do it! 점프 투 스프링 부트 3,26000,9791163035398,S000211685975
93,OpenAPI와 스웨거를 활용한 실전 API 설계,35000,9791189909581,S000211655004
94,쉽게 배우는 JSP 웹 프로그래밍,30000,9791156640066,S000211623330
95,소플의 처음 만난 리액트,33000,9791169211697,S000211547365
96,Do it! Node.js 프로그래밍 입문,36000,9791163035244,S000211207431
97,코드로 배우는 리액트,35000,9791189184117,S000211023266
98,개발자를 위한 레디스,38000,9791161757926,S000210785682
99,모던 리액트 Deep Dive,48000,9791158394646,S000210725203
100,우아한 타입스크립트 with 리액트,32000,9791169211567,S000210716282
101,웹 개발 새로고침,26000,9791192987361,S000210541336
102,JSP 서블릿 웹 프로그래밍,37000,9791198170880,S000210540422
103,AWS 교과서,38000,9791140706662,S000210532528
104,스프링 웹 프로그래밍,39000,9791198170897,S000210527042
105,웹 개발자 로드맵,20000,9791165922498,S000210398611
106,나의 첫 HTML & CSS 웹 디자인,22000,9791192987149,S000209172307
107,아는 만큼 보이는 프런트엔드 개발,24000,9791140706389,S000209150824
108,예제로 배우는 자바스크립트,28000,9791192038063,S000208950750
109,리액트로 배우는 소켓 프로그래밍,28000,9791193083062,S000208872651
110,웹서버 프로그래밍,25000,9791156001157,S000208693960
111,HTML5 웹 프로그래밍 입문,29000,9791156646716,S000208431687
112,타입스크립트 교과서,33000,9791140705900,S000208416779
113,Do it! 프런트엔드 UI 개발 with Vue.js,25000,9791163034940,S000208357862
114,구글 애널리틱스,35000,9791161757766,S000204119523
115,백엔드 입문자를 위한 모던 자바스크립트Node.js,34000,9791140705009,S000203106549
116,프런트엔드 개발자를 위한 테스트 가이드,28000,9791192987163,S000202742096
117,현장에서 바로 써먹는 리액트 with 타입스크립트,37000,9791197973079,S000202707764
118,실용적인 마이크로서비스 아키텍처 패턴,50000,9791161757629,S000202672716
119,프로덕트 매니지먼트,23000,9791169211130,S000202595362
120,쉽게 시작하는 타입스크립트,36000,9791140704750,S000202595007
121,백엔드 개발을 위한 핸즈온 장고,32000,9791169211116,S000202404727
122,JSPStudy의 JSP & Servlet 웹 프로그래밍 입문 + 활용,25500,9791193059043,S000202397101
123,"타입스크립트, 리액트, Next.js로 배우는 실전 웹 애플리케이션 개발",35000,9791158394332,S000202342916
124,원쌤의 Vue.js 퀵스타트,32000,9791193083024,S000202237433
125,풀스택 테스트: 10가지 테스트 기술의 기본 원칙과 전략,34000,9791169211093,S000202012356
126,쉽게 배우는 HTML5&CSS3 그리고 JavaScript,35000,9788958974147,S000201991103
127,처음부터 제대로 배우는 스프링 부트,28000,9791169210966,S000201866534
128,이토록 쉬운 HTML&CSS 웹 프로그래밍 입문,23000,9791193083000,S000201769390
129,그림과 작동 원리로 쉽게 이해하는 웹의 기초,22000,9791158394257,S000201603272
130,그림으로 쉽게 이해하는 웹/HTTP/네트워크,24000,9791158394196,S000201603021
131,싫었던 코딩이 좋아졌다,32000,9791198228901,S000201496908
132,Node.js 백엔드 개발자 되기,38000,9791191905274,S000201457949
133,백엔드 프로그래밍을 위한 PHP & MySQL,36000,9791192469836,S000201400072
134,스프링으로 시작하는 리액티브 프로그래밍,30000,9791165922047,S000201399476
135,칼퇴족 김대리는 알고 나만 모르는 HTML5+CSS3,21000,9791190641982,S000201375736
136,어썸 라라벨,37000,9791165921873,S000201375031
137,한 입 크기로 잘라 먹는 리액트,33000,9788966263943,S000201352991
138,기초부터 시작해서 실무로 끝내는 PHP,26000,9791189184100,S000201343352
139,Let’s 실전 예제로 배우는 자바스크립트+제이쿼리,22000,9788965121718,S000201334945
140,모던 웹을 위한 마이크로 프런트엔드,28000,9791158394080,S000201282304
141,실전! 스프링 부트와 리액트로 시작하는 모던 웹 애플리케이션 개발,28000,9791158394097,S000201237157
142,이한영의 Django(장고) 입문,25000,9788960884229,S000201056504
143,생활코딩! React 리액트 프로그래밍,25000,9791158394202,S000200940449
144,Servlet JSP 프로그래밍,30000,9788955029000,S000200925415
145,핵심만 배우는 PHP 프로그래밍,30000,9791168330740,S000200888210
146,HTML5+CSS3+JavaScript로 배우는 웹프로그래밍 기초,33000,9791192373133,S000200716955
147,모두의 구글 애널리틱스4,28000,9791140702794,S000200662106
148,실전에서 바로 쓰는 Next.js,26000,9791169210713,S000200619806
149,러닝 타입스크립트,26000,9791169210638,S000200553845
150,Do it! 리액트 모던 웹 개발 with 타입스크립트,40000,9791163034353,S000200550965
151,자바스크립트로 배우는 SICP,45000,9791169210621,S000200526321
152,Node.js 교과서,42000,9791140702398,S000200437346
153,모던 자바스크립트 프로그래밍의 정석,36000,9791163034223,S000200329055
154,"풀스택 리액트, 타입스크립트, 노드",40000,9791161756943,S000200287634
155,스프링 부트로 개발하는 MSA 컴포넌트,44000,9791140702121,S000200221921
156,한 권으로 끝내는 그누위즈의 HTML5 & CSS3 웹 디자인 입문+활용,25500,9791197948978,S000200199678
157,채쌤의 스프링 부트 프로젝트,27000,9791186710456,S000200154303
158,원쌤의 리액트 퀵스타트 with 타입스크립트,32000,9791186710937,S000200135450
159,모던 자바스크립트로 배우는 리액트 입문,23000,9791169210454,S000200126533
160,GraphQL과 타입스크립트로 개발하는 웹 서비스,25000,9791165921774,S000200019862
161,채쌤의 Servlet&JSP 프로그래밍 핵심,27000,9791186710548,S000061898162
162,"React.js, 스프링 부트, AWS로 배우는 웹 개발 101",36000,9791161756776,S000061838547
163,Laravel 실무 따라하기,35000,9791186898932,S000061757905
164,쉽게 배우는 HTML5 웹 프로그래밍 입문,27000,9788970505510,S000061584200
165,자바 웹 개발 워크북,35000,9788965403340,S000061549872
166,웹 개발자를 위한 자바스크립트의 모든 것,43000,9791140700806,S000061550045
167,그림으로 배우는 웹 구조,16000,9788931466591,S000061532404
168,그림으로 공부하는 마이크로서비스 구조,26000,9791191600988,S000061532860
169,Do it! 조코딩의 프로그래밍 입문,18000,9791163033875,S000061425726
170,스프링 부트 핵심 가이드,28000,9791158393083,S000061352140
171,멀티스레드 기반 자바스크립트,24000,9791186710838,S000061353477
172,소플의 처음 만난 리액트,33000,9791162245682,S000061352352
173,Do it! 클론 코딩 줌,18000,9791163033530,S000060625470
174,완성된 웹사이트로 배우는 HTML&CSS 웹 디자인,22000,9791162245606,S000001810508
175,코로나보드로 배우는 실전 웹 서비스 개발,38000,9791191905199,S000001953767
176,코딩 자율학습 HTML + CSS + 자바스크립트,27000,9791165219468,S000001834830
177,생활코딩! HTML+CSS+자바스크립트,28000,9791158393274,S000001766512
178,자바스크립트 완벽 가이드,42000,9788966263462,S000001033131
179,헤드 퍼스트 디자인 패턴,36000,9791162245262,S000001810483
180,HTML5 & CSS3,25000,9791162890981,S000001816564
181,프론트엔드 개발을 시작하려고 해: 입문편,29500,9791197641718,S000001987715
182,코딩만 따라 해도 웹페이지가 만들어지는 HTML+CSS+자바스크립트,24000,9788970505367,S000001076025
183,명품 HTML5+CSS3+Javascript 웹 프로그래밍,30000,9788970505459,S000001076031
184,PHP+MySQL 입문,27000,9791192038025,S000001954072
185,스벨트로 시작하는 웹 프런트엔드,29000,9791165921132,S000001842208
186,Lets 실전 예제로 배우는 자바스크립트+제이쿼리(JavaScript+jQuery),22000,9788965121275,S000001015603
187,Lets 실전예제로 배우는 HTML5+CSS3,22000,9788965121237,S000001015600
188,자바스크립트 프로그래밍 입문,27000,9791156645887,S000001743862
189,Node.js 프로젝트 투입 일주일 전,26000,9791165921170,S000001842209
190,라라벨 실전 웹 애플리케이션 개발,34000,9791191600476,S000001952233
191,이야기로 다가가는 HTML,14000,9791165921187,S000001842210
192,자신감 뿜뿜! JSP 웹 프로그래밍 Hard Carry,26000,9788970505244,S000001076014
193,개발자를 위한 웹 개발 환경 자동화,30000,9791161756004,S000001805093
194,가장 빨리 만나는 스벨트,32000,9791165218164,S000001834764
195,개발자로 살아남기,18000,9791191905113,S000001953766
196,바닐라 자바스크립트,29000,9791165921071,S000001842204
197,무던한 개발자를 위한 모던한 자바스크립트,32000,9791162245057,S000001810463
198,"기초부터 완성까지, 프런트엔드",33000,9791165921057,S000001842202
199,인터랙션디자인을 위한 Java Script,15000,9791191857467,S000001953502
200,온톨로지 과학자를 위한 지식그래프,45000,9791156645597,S000001743834
201,Do it! 자바스크립트 입문,18000,9791163033080,S000001818041
202,그누위즈의 PHP & MySQL 웹 프로그래밍 입문 + 활용,23000,9791185553887,S000001870243
203,Node.js로 서버 만들기,27000,9788997924905,S000001624718
204,실시간 모니터링 시스템을 만들며 정복하는 MEVN,32000,9791165920876,S000001842195
205,자바스크립트 + 제이쿼리 입문,25000,9791192038001,S000001954071
206,Svelte로 맛보는 웹 애플리케이션 개발,28000,9791165920944,S000001842199
207,PHP가 보이는 그림책,18000,9788931556438,S000000559933
208,JSP 웹 프로그래밍,30000,9791156645658,S000001743840
209,처음 배우는 플라스크 웹 프로그래밍,19800,9791162244678,S000001810426
210,한 권으로 배우는 Vue.js 3,26000,9788931465792,S000000555679
211,JSP 웹 프로그래밍과 스프링 프레임워크,27000,9791156645573,S000001743832
212,Do it! 클론 코딩 트위터,18000,9791163032748,S000001818026
213,당신의 칼퇴를 도와주는 UiPath 업무 자동화,28000,9791165920821,S000001842194
214,스벨트 앤 새퍼 인 액션,38000,9791162244555,S000001810414
